	 Features	 Area	 Length	 Angle	 Avg. Dist.	 Min. Dist.	 Max. Dist.	 Ctr-to-Ctr Dist.
175	L177		 2.095371	 101.5922				
176	L178		 2.241018	 189.4623				
177	L179		 2.535073	 228.3665				
178	L180		 2.306801	 145.2222				
179	L181		 2.160461	 124.0772				
180	L182		 2.599808	 301.7595				
181	L183		 2.260709	 204.7751				
182	L184		 2.507054	 320.9645				
183	L185		 2.356696	 293.7026				
184	L186		 2.604067	 194.0362				
185	L187		 2.435313	 6.203448				
186	L188		 2.475923	 357.5634				
187	L189		 2.736842	 22.61986				
188	L190		 2.474244	 119.2914				
189	L191		 2.656722	 213.6901				
190	L192		 2.495425	 27.64598				
191	L193		 2.672316	 237.8750				
192	L194		 2.540530	 309.9575				
193	L195		 2.583776	 33.36637				
194	L196		 2.589666	 322.4314				
195	L197		 2.527412	 121.3730				
196	L198		 2.426196	 139.3987				
197	L199		 2.455138	 300.9638				
198	L200		 2.842593	 1.060912				
199	L201		 2.493760	 187.2750				
200	L202		 2.545976	 119.7449				
201	L203		 2.688850	 3.366461				
202	L204		 2.502077	 247.7510				
