	 Features	 Area	 Length	 Angle	 Avg. Dist.	 Min. Dist.	 Max. Dist.	 Ctr-to-Ctr Dist.
1	L5		 2.185553	 188.5308				
2	L6		 2.310244	 190.7843				
3	L7		 2.128705	 156.0375				
4	L8		 2.337882	 213.6901				
5	L9		 2.161373	 180				
6	L10		 2.399513	 82.23483				
7	L11		 2.320332	 207.7585				
8	L12		 2.550512	 126.3844				
9	L13		 2.543634	 192.2648				
10	L14		 2.506634	 172.5686				
11	L15		 2.598146	 196.9275				
12	L16		 2.370130	 155.7723				
13	L17		 2.327870	 201.8014				
14	L20		 2.464344	 127.8750				
15	L21		 2.377510	 180				
16	L22		 2.272013	 115.3462				
17	L23		 2.428541	 159.1455				
18	L24		 2.279711	 185.4403				
19	L25		 2.669099	 158.6294				
20	L26		 2.174840	 116.5651				
21	L27		 2.075931	 218.6598				
22	L28		 2.387314	 174.8056				
23	L29		 2.416488	 169.6952				
24	L30		 2.669099	 158.6294				
25	L31		 2.842842	 188.7462				
26	L32		 2.225270	 209.0546				
27	L33		 2.613832	 119.7449				
28	L34		 2.710348	 203.4986				
29	L35		 2.320332	 207.7585				
30	L36		 2.399513	 234.1623				
31	L37		 2.701716	 126.8699				
32	L38		 2.379965	 219.4725				
33	L39		 2.532129	 140.1944				
34	L40		 2.532129	 140.1944				
35	L41		 2.532129	 129.8056				
36	L42		 2.064649	 96.00901				
37	L43		 2.464344	 127.8750				
38	L44		 2.248763	 35.21759				
39	L45		 2.487927	 87.51045				
40	L46		 2.818085	 184.3987				
41	L47		 2.161373	 90				
42	L48		 2.543634	 167.7352				
43	L49		 2.161373	 180				
44	L50		 2.568762	 104.6209				
45	L51		 2.416488	 153.4349				
46	L52		 3.010444	 158.9625				
47	L53		 2.269442	 90				
48	L54		 3.223998	 140.4403				
49	L55		 2.658137	 116.5651				
50	L56		 2.360255	 74.05460				
51	L57		 2.161373	 126.8699				
52	L59		 2.684369	 139.8991				
53	L60		 2.727529	 146.3099				
54	L61		 2.464344	 142.1250				
55	L62		 2.721099	 186.8428				
56	L63		 2.598146	 163.0725				
57	L64		 2.379965	 182.6026				
58	L65		 2.733945	 198.4349				
59	L66		 2.153253	 162.4744				
60	L67		 2.320332	 207.7585				
61	L69		 2.701716	 143.1301				
62	L70		 3.117176	 146.3099				
63	L71		 2.506634	 187.4314				
64	L72		 2.593647	 180				
65	L73		 2.487927	 182.4896				
66	L74		 2.529822	 199.9831				
