	 Features	 Area	 Length	 Angle	 Avg. Dist.	 Min. Dist.	 Max. Dist.	 Ctr-to-Ctr Dist.
67	L75		 2.123212	 104.7436				
68	L76		 2.733945	 198.4349				
69	L77		 2.568762	 194.6209				
70	L78		 2.337882	 213.6901				
71	L79		 2.809785	 247.3801				
72	L80		 2.370130	 335.7723				
73	L81		 2.392201	 198.4349				
74	L82		 2.320332	 332.2415				
75	L83		 2.649335	 191.7683				
76	L84		 2.337882	 236.3099				
77	L85		 2.917853	 180				
78	L86		 2.279711	 148.5704				
79	L87		 2.701716	 196.2602				
80	L88		 2.595898	 182.3859				
81	L89		 2.568762	 104.6209				
82	L90		 2.204177	 191.3099				
83	L91		 2.925848	 184.2364				
84	L92		 2.428541	 147.7244				
85	L93		 2.755221	 228.1798				
86	L94		 2.631643	 199.1790				
87	L95		 2.438140	 192.8043				
88	L96		 2.494958	 197.6501				
89	L97		 2.520572	 210.9638				
90	L98		 2.529822	 160.0169				
91	L99		 2.494958	 184.9697				
92	L100		 2.227892	 202.8337				
93	L101		 2.399513	 125.8377				
94	L102		 2.996835	 205.6410				
95	L103		 2.675654	 313.3634				
96	L104		 2.638292	 124.9920				
97	L105		 2.598146	 106.9275				
98	L106		 2.818085	 122.4712				
99	L108		 2.675654	 223.3634				
100	L109		 2.469079	 203.1986				
101	L110		 2.733945	 108.4349				
102	L111		 2.755221	 168.6901				
103	L112		 2.466713	 151.1892				
104	L113		 2.416488	 153.4349				
105	L114		 2.279711	 174.5597				
106	L115		 2.658137	 116.5651				
107	L116		 2.372593	 120.0686				
108	L117		 2.450086	 228.5763				
109	L118		 2.532129	 140.1944				
110	L119		 2.803543	 117.5528				
111	L120		 2.487927	 145.6197				
112	L121		 2.520572	 210.9638				
113	L122		 2.684369	 130.1009				
114	L123		 2.416488	 153.4349				
115	L124		 2.577839	 213.0239				
116	L125		 2.289934	 199.290				
117	L126		 2.577839	 146.9761				
118	L127		 2.494958	 184.9697				
119	L128		 2.225270	 119.0546				
120	L129		 2.428541	 122.2756				
121	L130		 2.464344	 142.1250				
122	L131		 2.818085	 212.4712				
123	L132		 2.520572	 149.0362				
124	L133		 2.788925	 144.4623				
125	L134		 3.056643	 188.1301				
126	L135		 2.669099	 211.7595				
127	L136		 2.377510	 180				
128	L137		 2.332881	 166.6075				
129	L138		 2.602638	 228.3665				
130	L139		 2.778436	 76.50427				
131	L140		 2.568762	 202.2490				
132	L142		 2.506634	 172.5686				
133	L143		 2.370130	 136.8476				
134	L144		 2.464344	 142.1250				
135	L145		 2.836673	 130.3645				
136	L146		 2.568762	 202.2490				
137	L147		 2.279711	 148.5704				
138	L148		 2.550512	 233.6156				
139	L149		 2.669099	 158.6294				
140	L150		 2.522888	 133.2643				
141	L151		 2.392201	 18.43495				
142	L152		 2.469079	 113.1986				
143	L153		 2.828427	 136.5482				
144	L154		 2.372593	 30.06858				
145	L155		 2.658137	 116.5651				
146	L156		 2.337882	 123.6901				
147	L157		 2.755221	 205.560				
148	L158		 2.520572	 120.9638				
149	L159		 2.598146	 73.07249				
150	L160		 2.770017	 110.5560				
151	L161		 2.727529	 213.6901				
152	L162		 2.673471	 104.0362				
153	L163		 2.513613	 25.46335				
154	L164		 2.279711	 185.4403				
155	L165		 2.532129	 230.1944				
156	L166		 2.438140	 167.1957				
157	L167		 2.733945	 198.4349				
158	L168		 2.631643	 109.1790				
159	L169		 2.494958	 184.9697				
160	L170		 2.778436	 103.4957				
161	L171		 2.438140	 102.8043				
162	L172		 2.370130	 136.8476				
163	L173		 2.464344	 142.1250				
164	L174		 2.494958	 175.0303				
165	L175		 2.649335	 101.7683				
166	L176		 2.445314	 225				
167	L178		 2.708192	 118.6105				
168	L179		 2.701716	 73.73980				
169	L180		 2.494958	 175.0303				
170	L181		 2.487927	 124.3803				
171	L182		 2.487927	 145.6197				
172	L183		 2.701716	 73.73980				
173	L184		 2.805625	 195.6422				
174	L185		 2.372593	 120.0686				
175	L186		 2.710348	 85.42608				
176	L187		 2.803543	 152.4472				
177	L188		 2.755221	 78.69007				
178	L189		 2.469079	 156.8014				
179	L190		 2.256540	 73.30076				
180	L191		 2.487927	 182.4896				
181	L192		 2.543634	 167.7352				
182	L193		 2.485579	 90				
183	L194		 2.485579	 90				
184	L195		 2.595898	 182.3859				
185	L196		 2.736080	 80.90972				
186	L197		 2.399513	 125.8377				
187	L198		 2.123212	 75.25644				
188	L199		 2.227892	 129.0939				
189	L200		 2.778436	 76.50427				
190	L201		 2.543634	 167.7352				
191	L202		 2.485579	 180				
192	L203		 2.428541	 200.8545				
193	L204		 2.543634	 192.2648				
194	L205		 2.550512	 233.6156				
195	L207		 2.767908	 51.34019				
196	L208		 2.595898	 92.38594				
197	L210		 2.494958	 184.9697				
198	L211		 2.466713	 208.8108				
199	L212		 2.855140	 60.52411				
200	L213		 2.94970	 61.55707				
