	 Features	 Area	 Length	 Angle	 Avg. Dist.	 Min. Dist.	 Max. Dist.	 Ctr-to-Ctr Dist.
1	L1		 2.909098	 49.28915				
2	L2		 2.451368	 15.78075				
3	L3		 2.781076	 354.7099				
4	L4		 2.319060	 35.09582				
5	L5		 2.134221	 35.21759				
6	L6		 2.455655	 28.70595				
7	L7		 2.730017	 84.61069				
8	L8		 2.990232	 5.906141				
9	L9		 2.512821	 0				
10	L10		 2.578931	 17.35402				
11	L11		 2.503909	 34.99202				
12	L12		 2.677002	 36.43086				
13	L13		 2.615385	 0				
14	L14		 2.525348	 12.90741				
15	L15		 2.715529	 10.88553				
16	L16		 2.726161	 16.38954				
17	L17		 2.639905	 29.05460				
18	L18		 2.478574	 24.44395				
19	L19		 2.677002	 16.69924				
20	L21		 2.626923	 38.65981				
21	L22		 2.502333	 45.83032				
22	L24		 2.425484	 346.5514				
23	L25		 2.576891	 31.15930				
24	L27		 2.538332	 98.13010				
25	L28		 2.418970	 111.1247				
26	L29		 2.576891	 31.15930				
27	L30		 2.623417	 4.484606				
28	L31		 2.647366	 351.0851				
29	L32		 2.504959	 22.89055				
30	L33		 2.504434	 349.3803				
31	L34		 2.786744	 12.75753				
32	L35		 2.363986	 40.60129				
33	L36		 2.335446	 8.841815				
34	L37		 2.359532	 358.7546				
35	L38		 2.423857	 6.072456				
36	L39		 2.466341	 356.4237				
37	L41		 2.522743	 26.56505				
38	L42		 2.451368	 37.34935				
39	L43		 2.574849	 44.19307				
40	L44		 2.575360	 12.65256				
41	L45		 2.176317	 34.43899				
42	L46		 2.611863	 43.40886				
43	L47		 2.589109	 7.969610				
44	L48		 2.525348	 23.96249				
45	L49		 2.338821	 52.12502				
46	L50		 2.718432	 125.7890				
47	L51		 2.554855	 38.48020				
48	L52		 2.114413	 39.09386				
49	L53		 2.523265	 322.4314				
50	L54		 2.154457	 51.76617				
51	L55		 2.352835	 339.5901				
52	L56		 2.436842	 8.471145				
53	L57		 2.475388	 346.8274				
54	L58		 2.451368	 142.6507				
55	L59		 2.432521	 341.5651				
56	L60		 2.276138	 337.4794				
57	L61		 2.824706	 93.12213				
58	L62		 2.437921	 22.24902				
59	L63		 2.615887	 1.123303				
60	L64		 2.429817	 314.1449				
61	L65		 2.111924	 330.9454				
62	L66		 2.546091	 34.33022				
63	L67		 2.580970	 49.02826				
64	L68		 2.576891	 42.58049				
65	L69		 2.462073	 358.8065				
66	L70		 2.370651	 51.14663				
67	L71		 2.214055	 13.39250				
68	L72		 2.261649	 3.900494				
69	L73		 2.375638	 32.66091				
70	L75		 2.699015	 38.82982				
71	L76		 2.647366	 314.2152				
72	L78		 2.832144	 5.194429				
73	L79		 2.707770	 37.30395				
74	L80		 2.554855	 38.48020				
75	L81		 2.786272	 353.6598				
76	L82		 2.625421	 347.5926				
77	L83		 2.594689	 341.5651				
78	L84		 2.437921	 14.62087				
79	L85		 2.375638	 32.66091				
80	L86		 2.339384	 333.9967				
81	L87		 2.457796	 23.35556				
82	L88		 2.675528	 347.8285				
83	L89		 2.451368	 344.2192				
84	L90		 2.533146	 21.37062				
85	L91		 2.489689	 327.6193				
86	L92		 2.666667	 0				
87	L95		 2.542473	 48.27049				
88	L96		 2.574849	 315.8069				
89	L97		 2.454048	 10.84031				
90	L98		 2.425484	 346.5514				
91	L99		 2.425484	 13.44862				
92	L100		 2.325289	 41.42367				
93	L101		 2.659754	 33.99646				
94	L102		 2.580970	 49.02826				
95	L104		 2.142829	 338.9625				
96	L105		 2.542473	 41.72951				
97	L106		 2.500230	 25.51387				
98	L107		 2.702423	 56.61149				
99	L108		 2.415161	 356.3478				
100	L110		 2.321894	 46.78991				
101	L111		 2.429817	 135.8551				
102	L112		 2.207512	 357.3370				
103	L113		 2.449221	 70.42687				
104	L114		 2.668638	 2.202598				
105	L115		 2.677002	 339.8293				
106	L116		 2.525348	 12.90741				
107	L117		 2.574849	 314.1931				
108	L118		 2.546607	 334.9831				
109	L119		 2.394383	 350.1342				
110	L120		 2.466875	 339.3045				
111	L121		 2.388335	 345.0686				
