	 Features	 Area	 Length	 Angle	 Avg. Dist.	 Min. Dist.	 Max. Dist.	 Ctr-to-Ctr Dist.
112	L122		 2.335446	 340.7693				
113	L123		 2.284787	 45.90938				
114	L124		 2.613373	 15.94540				
115	L125		 2.485461	 338.1986				
116	L126		 2.546091	 18.79989				
117	L127		 2.546091	 9.272602				
118	L128		 2.620909	 120.5792				
119	L129		 2.474857	 145.9807				
120	L130		 2.514390	 348.2317				
121	L131		 2.366210	 330.1011				
122	L132		 2.514913	 39.20720				
123	L133		 2.617395	 34.62416				
124	L134		 2.596716	 170.9097				
125	L135		 2.481225	 18.06047				
126	L136		 2.851577	 37.69424				
127	L137		 2.692186	 342.2553				
128	L138		 2.699015	 345.6997				
129	L139		 2.284787	 45.90938				
130	L140		 2.442770	 39.03551				
131	L141		 2.277293	 54.16235				
132	L142		 2.410256	 0				
133	L143		 2.319060	 54.90418				
134	L144		 2.730017	 151.9908				
135	L145		 2.843265	 50.85601				
136	L146		 2.563077	 340.1148				
137	L147		 2.385580	 334.5367				
138	L148		 2.410802	 330.7086				
139	L149		 2.659754	 340.8664				
140	L150		 2.707770	 52.69605				
141	L151		 2.531589	 353.0189				
142	L152		 2.480695	 29.74488				
143	L154		 2.546091	 350.7274				
144	L155		 2.649352	 75.42578				
145	L156		 2.431981	 42.43623				
146	L157		 2.446535	 33.02387				
147	L158		 2.686808	 346.7595				
148	L159		 2.462607	 31.37301				
149	L160		 2.628924	 339.4440				
150	L161		 2.844652	 27.95097				
151	L162		 2.517526	 33.36637				
152	L163		 2.611359	 19.50245				
153	L164		 2.378957	 7.431408				
154	L165		 2.514913	 2.337306				
155	L166		 2.466341	 3.576334				
156	L167		 2.677002	 53.56914				
157	L168		 2.626923	 128.6598				
158	L170		 2.321894	 43.21009				
159	L171		 2.564615	 11.53462				
160	L172		 2.403701	 33.69007				
161	L173		 2.775870	 11.72511				
162	L174		 2.481225	 341.9395				
163	L175		 2.692186	 17.74467				
164	L176		 2.683380	 333.9246				
165	L177		 2.568714	 63.94650				
166	L178		 2.674545	 327.5288				
167	L179		 2.432521	 325.3048				
168	L180		 2.775870	 348.2749				
169	L181		 2.665187	 329.9816				
170	L182		 2.692186	 40.36454				
171	L183		 2.514390	 11.76829				
172	L184		 2.16420	 53.67317				
173	L185		 2.582498	 6.842773				
174	L186		 2.359532	 358.7546				
175	L187		 2.533666	 324.0579				
176	L188		 2.436302	 329.6568				
177	L189		 2.659260	 39.52263				
178	L190		 2.293403	 26.56505				
179	L191		 2.432521	 34.69515				
180	L192		 2.504434	 317.4896				
181	L193		 2.307692	 323.1301				
182	L194		 2.482814	 321.7098				
183	L195		 2.666667	 67.38014				
184	L196		 2.759718	 41.98721				
185	L197		 2.611863	 46.59114				
186	L198		 2.338821	 142.1250				
187	L199		 2.627924	 5.599339				
188	L200		 2.287087	 132.2737				
189	L201		 2.503909	 145.0080				
190	L202		 2.525348	 156.0375				
191	L203		 2.688764	 34.90250				
192	L204		 2.533146	 31.75948				
193	L205		 2.591647	 27.07208				
194	L206		 2.717949	 148.1092				
195	L207		 2.156287	 154.6538				
196	L208		 2.574849	 44.19307				
197	L209		 2.666667	 0				
198	L210		 2.849732	 59.74356				
199	L211		 2.625421	 347.5926				
200	L212		 2.568714	 63.94650				
201	L213		 2.715529	 10.88553				
202	L214		 2.566153	 2.290610				
203	L215		 2.476981	 332.9044				
204	L216		 2.466875	 339.3045				
205	L217		 2.719883	 44.23610				
